guid	midas	entity.label	text
7b8ad7dd64983eee18f1beb2f20f8268bbcbae0b	opinion	location	MAybe that's what LOCATION is doing to us.
b25f89274765a251b46e9a130c25cfc42760fdb7	yes_no_question	genre	Does he like GENRE?
079b34808565bb8e93df94761285c4e8fb6662b1	opinion	videoname	I like VIDEONAME.
4dc5c9f55316a3aa2921781081e8dc87ed5ce8fa	statement	videoname	I have heard of VIDEONAME but have not watch either.
dd943efe54f1fe181856def1b165470617cf8590	statement	location	Yes I didn't even know about this with LOCATION.
77fbf756e40469f798e8a2ecb2462108d7454937	opinion	sportteam	Maybe SPORTTEAM wouldn't have lost 222 to 0 if they had had him on their team back in 1916.
3f30b0d1b115b212c92dc683d7bdc0037c83483e	statement	device	Yeah, try not to kick or hit the DEVICE!
8d9209b83bc3ecb96b1b9750c88a2ec586da646c	statement	location	I have been to LOCATION but I was really little.
98ffb050080c0577447a7935fa89df63f80dac09	opinion	duration	I think he should have gotten DURATION and be forced to return every cent he collected.
ad245792ab69632bf3e0c6d352390320aedd9850	statement	organization	ORGANIZATION has a whole bunch of different types of people.
e9e1697f5c235b5478eb4a774750497c4848b693	statement	genre	Oh yeah GENRE is not my usual.
340636b1ec44ea36a840d326a8f46d74001dc668	opinion	videoname	maybe he watches too much VIDEONAME.
6be9e64addc1c8fa096e15ef8589f0df44deff3f	statement	videoname	VIDEONAME.
1e0d52e96caf13263476140c530a7323881b2bf5	opinion	person	I love PERSON for sure too.
04aa90b3557e5f065ee694c0d9e0dc47d5f68523	opinion	year	In the YEAR.
dcf54846a492b531c403876e0ba00620cf821732	opinion	organization	The ORGANIZATION should have more authority.
a4a77f516655dd21af1abb19f7f5b2122de1ece3	opinion	person	he could invite PERSON over for a drink wield his hammer and whatever else of Thor's he wanted to.
8564b2549af464fd63c31ad58e2e40874e046dad	opinion	person	I dont really know who PERSON is so no opinion there.
5a0c2dd1dce1da5798beab8b7a1e29fcc6700a64	opinion	videoname	VIDEONAME is pretty funny.
b451391cbc2af5c56dcbe78c76fa8fdadb9d671b	opinion	device	I'd love an DEVICE!
bfe595b3d4ef9a62c4143fb770dd4f6232d4f34f	pos_answer	sport	I do like SPORT.
17680acf29d781c9424b6f7b7fa4be99142165e6	yes_no_question	person	Do you think he's better PERSON?
d7b2da3dd8e8a0618ab4f4385c544a0b33f5e41d	yes_no_question	person	DO you know PERSON?
305993ce7946e1b5129d33dbc88ee026046b7ed1	statement	person	The QB is PERSON.
92be4d574be550e009348e01ef427276f331cefc	opinion	person	thats a lot of PERSON to watch.
953a665154d2fef295383beb0875ba0d31f5766b	open_question_factual	date	Um... let me double check... unfortunately, she ’ s booked solid on DATE, how does next Monday work for you?
fc265f8f7ea76ea853e03f3467c0f94b5566a136	opinion	genre	I like some GENRE.
7e713cf5ba7b833994af94f5025f6af43c2a9bd8	statement	location	I had no idea there was 3g service at the peak of LOCATION.
3f73aa0d920fc1726601437f00a11b097200406c	statement	vehicle	First you have to put the VEHICLE into gear.
586e70d33c726872a91dbbdfa57ff257ab77f75f	opinion	videoname	I really like the show VIDEONAME.
9fa5e3a3588c0cbde9015639e855c3fc80d02a3d	statement	location	No, that's the number l that goes down LOCATION.
463ebee6f9c1a78f646354a8a96ac25c3134cebe	statement	videoname	VIDEONAME is IT!
978483f056185c8455beac8c99b64e3b934e9048	statement	videoname	VIDEONAME is confusing too lol I am not sure right now cuz I havent finished it.
10885ebab4c73256f80bda3f5d2ca2516df69c28	statement	gamename	I used to play this game called GAMENAME.
536725c1be74cc8fe9fa22b59de718fc3fc4d324	opinion	videoname	VIDEONAME.
0d9448a4d691b0d84ba8a00f9210058fc1c40a49	opinion	device	I dont have a DEVICE but they look cool.
926652f8171a4381e81bd087e0b0e90e9954ee15	yes_no_question	device	Could it be the DEVICE?
5dcdb1aa67ce7e8226b980a58f8eabde0fc979c3	opinion	softwareapplication	I'm not on it at all -- I like SOFTWAREAPPLICATION better.
315ae24c9fcf627272d7ebfc983a49480bc6718a	opinion	position	I think this was definitely made before he was POSITION.
2e64182a907f1e9c07bd74a2a18e080fb69f8987	statement	device	I might have to look up what a DEVICE is as well.
3532b78aedf03c5e1865f5d4925fda153a6c13ea	statement	person	Tell you what, I'll be calling PERSON late this week anyway, so I'll mention it to him then.
36217db60d95e54e7d8add7db1675e1f2e19a87c	opinion	person	PERSON is a genious.
60a3ba8bdcb153b665477681406ace081b984ce8	opinion	videoname	The VIDEONAME is damned if they do and damned if they don't.
d53c9573a68303df498c825956b60a48e7178cc2	yes_no_question	device	Do you use your DEVICE much?
0b3576ace0340a1bd983d0bcfe7625c0b6323da0	opinion	location	So the other party could be across the LOCATION or just on the other side of the street!
838d5889e3e2e40a5b0a9d02faad52d5e3aebfd8	command	person	Speaking of PERSON.
978998d293b60ff937cfd77ad3925c25f0e87fb7	opinion	location	I've always wanted to visit LOCATION!
5a7091e413999c546234d45980fc402772100eaa	statement	location	As a matter of fact, I'm from LOCATION.
d8665998f35790629f964c914fa80c7b75cdc3ae	yes_no_question	videoname	"Did you know there was a UK version of it called ""VIDEONAME""?"
d520dbcd5ec3fdab1924cf789b14acaa48fa9968	yes_no_question	device	Do people still have to use the DEVICE to call in or text your choice?
01626d38bdf01f11d40927765c86a0b7f431fdc5	opinion	videoname	VIDEONAME ?
b1f567e8125c881892a29c30d1bbdbaf9c5ea863	command	person	Let's give PERSON a call and ask her for her help right now.
9f6c68aebc3fd75de460dff9f53892e28e137eb3	statement	organization	I don't follow the ORGANIZATION at all.
e5fcf2eb77f934d00e473d5b9db80bfd89845ca8	opinion	genre	I think there's good GENRE.
21c03fe5319b2761901a458e7182eb94df8b8e8f	statement	device	I read it on my DEVICE.
2c18c44f2d0d4e4c3a20a4b90b4064ed86f7f96b	yes_no_question	sportteam	Do you follow the SPORTTEAM at all?
7e7dc50293c5e6ec11b6135fb0bfdf243ebd4105	statement	location	He is from LOCATION.
2ed29eb40d4d626e0884d77222e7f312014ef1c0	opinion	person	Too bad he couldn't pick up some knowledge from PERSON.
247bfa9191a09e72ce5b6130f6636ec02b063ae5	opinion	person	I think a younger PERSON maybe.
d267100796b5143b125408721a771378db2d9222	opinion	gamename	Well, I like collecting GAMENAME!
d28c6ffdfd2d44bb85abd766dcd05f80ef42e42e	open_question_opinion	genre	Is GENRE your favorite?
c2bc8c08627d93ac564d85c8c82797f8f38c7467	yes_no_question	person	Do you think he'll be like PERSON?
61fdf13141bf3d9e24eff78845849d234768343e	opinion	organization	I'm with ORGANIZATION on this one.
f570e7b8af02b30e984e2bdd016ad90e5389f03f	statement	softwareapplication	I am sure there were plenty of responses and posts on SOFTWAREAPPLICATION.
0c0ee0c8d1d7ff5d52db3a1ede331a69457ef3e5	statement	videoname	Here we are, VIDEONAME!
d124e7b8dbf492aec57c32bf928e739b34ea90c6	opinion	organization	Maybe but ORGANIZATION.
b981fcd6d145fea3e18975b6689dd59b3a264a76	statement	organization	It stood for the ORGANIZATION.
a1b08fd402061883c6b64747e35f0201faf60849	opinion	organization	"Its called ""Granny Style"" haha but ORGANIZATION players refuse to do it because it looks stupid!"
a0a9240e81f60014c068f023e44ed09bc28f7083	opinion	person	I dont think PERSON will ever go broke.
62f3459776ec3e36461313d3782d518bbce20f02	statement	duration	Probably more many than I make in DURATION!
5f390937d2a0e54eff9b6e7828f48196a1b30dcc	statement	genre	I listen to almost anything but GENRE.
0cd3cfc7840868f13f737a57d86c42ba117618d3	statement	person	I haven't heard of PERSON!
311f12570352e92fb3adefa41ac66493d0dc046c	opinion	sport	Yeah I like SPORT its fun to watch.
bfe19fb3fd5a3fd94519bd9cf904d4d55fe1f596	statement	device	I have an DEVICE.
cfa08b9eb4e52584a2ef191a95ea9ed252dfc392	statement	number	Yes around NUMBER of them.
4428dd4bf441fd2e9cad134e3db950f458865f93	statement	device	People have become addicted to their DEVICE though.
5ed07cd9ef8ed82329ab319de2a814297f277eaa	statement	location	It's going to be set in LOCATION.
bf74a279e450c4ae0ee598ffbe0e24fee27c87d6	opinion	location	The LOCATION is just amazing.
889e9cbf65d2871591a4c5d4b49a60ab6a84aa4a	opinion	person	I like PERSON.
062020aa3cb57c4fa8d35efaa20a7916f6b0d1ff	statement	sportteam	Yeah he used to be a QB in SPORTTEAM.
c0351b34a49c0ee82f5bc4c9583fb8368f43ccc2	yes_no_question	videoname	Did you see the VIDEONAME movie?
87fcc376082356290931c964391614dd10234115	command	person	Could you tell her PERSON called?
d8c8974720c2495337ce66baf6cd58c5016278ce	statement	duration	Only lasted DURATION or something.
aeedc90816da0411ea5b00c4f3f6e2e58cf7e1bb	statement	organization	Yeah and then the owner of ORGANIZATION was fine $40 for a late fee and got sick of it
6a946899949127fd57e864918fd26bdcc4b2d3fb	statement	number	It ’ s NUMBER.
e434045a19856ae0bbba9c997788387f09db65ea	open_question_factual	location	Where in LOCATION are you from?
744cb96b3c8c65d1efd241c7a58433aec350d1f6	opinion	location	LOCATION doesn't impress me.
289635bafaf19a9ba37eef902ce541933ab41b20	yes_no_question	videoname	Did you ever watch VIDEONAME?
4d70bd0e4924b2b05cff6c3293158e02b37e1563	statement	person	Yeah PERSON is always planning something.
c47b7d3200699c44905849bfed03b4ee0c73fd66	opinion	sportteam	i like SPORTTEAM
d39ec8e87f7132e350e46daf528ed1baf4b5e3f5	yes_no_question	location	Would you go to LOCATION?
8695b3889582b7b75b676fbb3b216b312de87315	statement	location	I have not been to LOCATION yet.
1ffcb7ee3a70bba5b23fdbf7f64a187ee70ba74c	statement	sportteam	well I know that SPORTTEAM have won since then.
705f194518d6cc0283fd9c579f317e4fc81853ad	comment	person	Yeah the PERSON story is really awesome.
a81bc03620356772034e88243916ddb4f53bc18f	statement	event	Only the EVENT.
aaf11dfc45b06de6f4cf6128c0b7dbc548ca95b0	opinion	person	I'm glad PERSON made that choice.
39b574b84f8102a8bc087f469f8b106c4328ed9e	statement	duration	Yeah he is still being paid and i think he still has another DURATION or so left.
7e830535518c7f11ade712dcf22f30efda21f84d	statement	device	I don't listen to the DEVICE very much.
79ff05116f04df9e0d6f816d560ce2d5fc05ede6	neg_answer	person	No PERSON in there.
59a546e0f69d3f9d26c032ecf4d257d022b86e00	statement	person	He wasn't called PERSON.
96ea0906d100aaa25d035ec16c3186ffa544b98a	opinion	person	I know PERSON would have!
184fa5e524299436ef7faa1c636fd15c3fb9d63d	statement	person	I used to listen to PERSON.
d758cca74c832707243224edd7a28e91c3813dc7	opinion	location	I do find LOCATION fascinating.
1fe00c682a2c09e573386b35d3a94e25d03ca6f2	opinion	genre	Another GENRE...
c6320f0eaaad788df88531b361f30e149f4fb4c9	open_question_opinion	location	How do you like LOCATION?
c9b4915589a49af1c9258de3340d6a57d5aecfc0	opinion	organization	ORGANIZATION is too important.
63c010ade19af45a01a41c8524a2d57425680a19	opinion	device	I think my DEVICE has a PhD because it often outsmarts me...
3c5aa88f4463d9f4c932bb0fe50a7f91c9a779d6	opinion	person	All time favorite would probably be PERSON.
d8ceb66c22df2a28b25366e0aad598cc020a58ec	yes_no_question	location	Was it LOCATION?
9bbedec33733388addd95257ce9dfc876f7387f7	statement	location	I just learned that when the LOCATION was first formed.
0a7ec4b054ecb9748e9b71eabb1225416f5a0ea0	yes_no_question	organization	Wouldn't that be funny if the place that fined him that late fee was ORGANIZATION?
d61292fb99538a635026b14d970e0350de9b37b6	statement	person	Hi, I'm PERSON.
287b5f23369dc1b82e23ed360dde04b2106a697b	pos_answer	location	ya. have you heard of LOCATION?
bdd7a77332a2457b91cb84f6ed04daa7fc24eb70	statement	person	PERSON is swearing that she told the truth.
216077797a81f70b7b6d8d74502f67ef9d6400b8	opinion	videoname	I love VIDEONAME.
e0b87561753e97254c456c574e2429dccd326820	opinion	person	I think it was before PERSON.
6fb17600c133053dfee5d8f06f44f8d298e5615c	opinion	event	the EVENT is huge.
9a7d3293f4db6c96314fc137d1640c4efe814495	statement	device	Look, you can still learn a lot from watching DEVICE, you just need to be smart when you're watching.
3ef5fc91a9d51c1e120b9848d076f70c2c7d396f	yes_no_question	person	Do you happen to follow PERSON?
97c445e560d0db5475e383a0280610de3060ceaa	opinion	organization	That's why ORGANIZATION is great!
a61fd7d403810c9d7593b7d797b28648b1696d5e	comment	videoname	VIDEONAME.
4be374af0bdbd2638ad3871bf2bc103dce50dca0	opinion	location	Unlike the LOCATION.
844ba2870c8d76d5f7f0532b84f28ad6035dbe49	statement	sport	There's always SPORT too.
1f63e3dd6d8284c3971503f23506d360f574dde3	comment	number	NUMBER is pretty steep.
c4d0591b4692fe5e291e35674c3a4d10cbf68b02	comment	location	LOCATION is looking like a great place to live.
cbab0a8792b57a6c4d4ba7cbdbf168d3c17b90e1	statement	vehicle	I own a VEHICLE.
dddbe4a893243fb89c52ffac627367bfd1b6a87c	statement	number	NUMBER.
8223a5a9ef51026e9736901f0e1e82097ea11ff0	opinion	person	If PERSON wins one more.
450a46ce521a73e599f4f9d594e43e8f37356997	statement	person	Yeah about PERSON and how he put together solid teams on a low budget.
45712db086227190b8cec7fd2720d7bc69fe3069	command	genre	What about GENRE?
251e2f5518b55e8411fb1523ddf1bb8511485582	statement	videoname	VIDEONAME!
e50cb90ad33d0dba798dea2620b9f8d6edc6d9c7	comment	person	PERSON must have had it tough.
45ac584284846d5bdcb258a19bc2812fbe79029f	statement	organization	I do order stuff from ORGANIZATION.
e8ae4246c5d3bed5df9ed1f4f57bdb73fc0aa8d6	yes_no_question	duration	Did it took 2-DURATION for them to get recovered?
07069ef38b75184642c62f499282887934d4b40c	statement	person	He's dancing with PERSON!
52866e8fd2219d7f5e2ae6ecb854646b6deffbff	statement	device	One DEVICE, coming right up.
48a7fc35144af59868f7ea6d483f2a73c88a63af	opinion	sport	I dont know probably tweeting and playing SPORT.
bfd940503f48914ec6651e5bd81d989226802d4a	opinion	organization	Exactly I prefer ORGANIZATION.
cb6953361bdc7b0cbbf3a51123a55395b3724ca4	opinion	person	I would love to see PERSON do that.
4784d86302600d8d19b9f39772eb8b09ba2a360e	statement	duration	You've been gone for DURATION.
428fb8d1fd4563eef9fbee74581afb8224563883	opinion	sportteam	I like SPORTTEAM.
849191c23c84caaaad448ddb1be6e27c296450bd	opinion	videoname	It is not quite as good as the VIDEONAME - that was number 1 rated.
4cb5f747cb27a44877fe043858149f0b1f2240e3	statement	duration	I haven't been driving for long — only for a DURATION.
ac827265bdd57328891391bb2f2513e1639e29b4	opinion	videoname	I agree and I love VIDEONAME too.
afac59f636893c66ebabe241b2ddb9aed3dd6484	opinion	person	PERSON would find a way to market it and make money off it too.
b01a9ba47cb1caf31046f7a8f30c1cfe474c961a	yes_no_question	person	Is PERSON going to be in it?
1f9fd2a260f0b89e812cffa9aa2f7b1c2d68fd67	statement	sportteam	I'm an SPORTTEAM fan...
a5b7cb5b2a7ecbf74e3e85ba122683225bf0fcc4	opinion	person	PERSON seems to have his head on straight.
37769cd15f96478b43487a421d0d62f6cbc105bd	statement	duration	It was DURATION.
b713db45792b835036749f722df6656b72e8fe2b	opinion	sport	Strong arms are not just good for SPORT.
ac134c69b8ac4136127363e32e734f251b489f05	statement	date	Well as of DATE of last year.
4d67d45768a75f9e8235de36b939d73475945ca5	opinion	genre	I do love GENRE.
732a3bcf10b1c6ce7b6942d1808d726335168b04	statement	date	It says he was born DATE 8.
601e4693d569543c26f35a7c91bf034bc955fb4d	statement	device	I have it on cd actually I also have it on my DEVICE.
12273b81fd5ed494892ccab2a62e869489bbf756	statement	location	ah it takes place in LOCATION.
800f946bce2ebf2925f258c6ca04673af028adeb	opinion	genre	GENRE is a great genre.
88b545b7ec3924ab7532b9f0844459949d32efea	statement	device	I have never heard of a DEVICE.
cc296e07c5249ba22739c3552a7dd3801055af78	opinion	sport	I'm neutral about SPORT
737a7a06fd31f68fc39ba756d26194641568aa9a	yes_no_question	location	Are they from LOCATION?
59c30bf474f316182bfe101e2545d96ae0b9536f	statement	device	DEVICE do so much now.
e2ae722b7dcd321458589684cae674ed674b14ad	yes_no_question	event	Did you watch the EVENT last year?
1a021b906b64990dd5dfd25fa97c698318d47b8f	statement	genre	No I do not play any GENRE.
8b4f30d8199d9879e7a7cad00e8029c386e82e00	statement	vehicle	I can ’ t see anything out of the side mirror on your side of the VEHICLE.
50fa5110157fbcc616c3124ac0a6efb150b8b5e0	statement	videoname	It was called VIDEONAME in the UK and it was cancelled after 10 episodes.
cf684cd6c72338f06b5151ee9e3e850042ed0602	statement	genre	I don't really know GENRE.
8ab677251041ebba756adf1df3f8acb7eca538b5	pos_answer	location	Yeah. hard to imagine people used to believe the LOCATION was the center of everything.
125ef37dc6a09632b9922138f5a9545051a69df0	yes_no_question	organization	okay.do you like to purchase in ORGANIZATION?
2860c2fc5500c382e2e68e628436ae12b339753e	statement	number	Yes it's the button that has NUMBER horizontal lines on it.
fa97d787823f09cfe3648942c181a49e7817b0f3	yes_no_question	organization	Is the ORGANIZATION a place you can go in?
b45a2a0d1bcb3f8bdbd6b63f5fb56b8cbd6a98a7	statement	location	The LOCATION is massive.
20694b131981be9f0e08dcdc2276ec6d0976a5c2	opinion	organization	ORGANIZATION has been great.
8d2fbc6b2b77ceb8274dd99e7e1d21686439ecde	statement	videoname	I never saw VIDEONAME did it also got cancelled?
79b5daf178d35cd0ce66b737fa77087debe857f7	opinion	sport	Sounds interesting, but SPORT doesn ’ t really appeal to me.
52985b5fdf8440c70c88ce66de6b32e676f2527e	opinion	person	My all time favorite is PERSON.
e0eeaffaf0d98e37921aee076b55fcfe418c2563	opinion	location	LOCATION.
393e56b364e9da6011dc38e4f2e0e41777a6b55a	statement	person	Yeah PERSON has some mean nicknames.
85092eef99cde18ee6a01ee499b1b445078b7514	opinion	person	And even PERSON if I remembered right.
557ee80c0fcd109a5adf7e859b2ca2fbd9ff0b73	opinion	genre	Yeah but only out of fear that GENRE would take over.
0cb7ece907debd939ffb110c2fac88fa898f0f1b	statement	person	They call him PERSON!!
393a171b7ecbddbbabf58abc68594a303f85cd9d	command	genre	Yeah I want to hear that GENRE!
ee720060294232ed57d2aaa62d2352902a0cb049	opinion	person	I thought PERSON was the richest.
e4c7192585d3946550d03a510f9d06e4f8dfbc54	opinion	person	I wonder if they still had PERSON.
1586a986bae6f67be451babc79ddac194870eea8	opinion	duration	If I were you, I would take a DURATION to take care of those things before you move in.
0cc453bbdd3d5200adb2d2615e1093dbfd465c97	open_question_factual	location	How can you cash them when you arrive in the LOCATION?
2433c0b5c0cc8eae51915aa78344b4a55b659c6e	opinion	person	His loyalty from PERSON seems to have waned this week.
3b02a4c07e8922f29e714b08251a0bdc9319fe0f	yes_no_question	device	Do you listen to the DEVICE much.
e268171f795880050a0a4c81718b9ca6f4b68b5d	statement	number	Yes he is getting $NUMBER from them per year till he is 55
918a87c86afb1bd81939960fbf0dfad4fbea1eb3	yes_no_question	genre	Do you like GENRE?
02113e45a18b4b21fc390e62b0924dd83ab364ef	statement	sport	After SPORT practice.
434ebd8570eb7e818518a0cb61409b4a6aa744fc	pos_answer	person	Yes he was called PERSON
6b88835ec17b60c16135fcaf13d5d128a08b7937	statement	person	Yes the three most wealthy were PERSON.
58e275fd047a7d76a1f8a766958bfcd63c23c464	statement	softwareapplication	We make bad decisions and at least on SOFTWAREAPPLICATION you can delete it lol
c5b3e0814f610ff91c371def7c69b24131594663	statement	location	There are a lot of surprising things surrounding the LOCATION.
d4233422074c4e05552ae1e9e812e25a3b3639bd	statement	videoname	VIDEONAME?
7034934bba11152c952f1be8b4af1b5e54038d1b	yes_no_question	event	Are you watching this years EVENT.
1ace99766c52f62a07bd2afd93be05fff71b64b9	statement	sport	I watch SPORT every now and then.
c0d1a08823d123e8135b775cb6f820dc8bba6d1e	statement	person	PERSON.
ae927e10d65771083401512d5c254d99fb3bfa32	comment	device	It's pretty crazy how far DEVICE have come.
fbc3e561eba154619f28c7e849869d4fbff1f1e6	pos_answer	year	Yeah that happened back in YEAR.
fc364bd787c00022e76b3c52f73953d7d3168c01	statement	organization	I have been ordering from ORGANIZATION from the start.
33ecc42b8bf50d22b1d91f159cf5e59ac6892c05	open_question_opinion	person	How cool would that be to have PERSON as your teacher.
0ac62194f2dc79328fd314ae2574e9526592f37d	statement	duration	I do use it a few times a DURATION.
8b266aa06f1819e9a46ff75cecf7299d7bb6292f	statement	sportteam	SPORTTEAM had a harsh time untill he arrived to the team.
b57dd10653ac5bb93fdc1aa1a5b158ff7d2a29d1	yes_no_question	videoname	isn't he in the show VIDEONAME?
e381a1a6b2d89be2f03101d71910cf2eaf4064c5	statement	softwareapplication	oh ya called SOFTWAREAPPLICATION!
1b186a6b56cab6514223fb19d59842f1002f7acc	statement	sportteam	He plays for SPORTTEAM.
a8dc87e01efb72a52f7b9f838b9a1eeac145ac83	statement	date	It was on DATE 6th 1946.
e572888579f5365db765df959562763dbc2ee0f5	opinion	organization	When I first started using ORGANIZATION in 2008.
8b06190fa36f039d6637f734838b854fd51e6a9a	statement	genre	Yeah he dropped out to pursue a career in GENRE.
e9549b39ccf43a6be80fd5103071a92c18906a31	opinion	person	I want to trust PERSON on this.
241032d2cf414a7883130d9e4fbdc7c056803087	opinion	organization	I don't read many either but I do like ORGANIZATION.
5f2013a95ffbb80d7f905d7eeca8db700473b100	opinion	duration	I think it was more than DURATION.
87a2d34c74f0aafe06e752162b2bddb55ba2adf8	opinion	videoname	VIDEONAME?
1ee538841f2680509c3bb36e4a25e538c9f11939	opinion	sport	Looks like he made the right decision to keep playing SPORT.
42951bff33524aa2878eb1b8c5fd936f5d80633d	opinion	person	Ah PERSON is a great choice
dd43fbb1d92a46a6004423fe55bfd5f07fd2e56b	opinion	event	Especially during EVENT.
d8ecc5b20f30d7d2ab16d57443e4f72eebb708df	opinion	genre	I guess there is an upside to watching GENRE.
7959bbe1b80b7f4c4d9302298337eeb7f6109f9f	statement	softwareapplication	SOFTWAREAPPLICATION...
e10b545fcf7a4173a2732ce05137923f363fafc1	opinion	person	Yeah PERSON was awesome.
fff936f8eb5d4d9b9563cbfe2791573a27ceedda	statement	device	People get attached to their first DEVICE.
4ecf13f386428b5e382a8cfdaef4b4560eece0d6	statement	sportteam	apparently increased their odds of winning but SPORTTEAM avoided scoring
103b25426c163bbf70e8bc0e0132df298a7ef50e	opinion	videoname	I did not like much VIDEONAME
0db831c22ef9d1df4920726585449b91dc17a28c	statement	genre	I watch a lot of GENRE.
7e276fb971bf4dc803692a5af566f654c26363ec	statement	location	It is in LOCATION.
2e2b1605c78f532385167133939fd0afd1dcb6f4	comment	organization	The ORGANIZATION thing was actually really neat.
a3459d0e89c04673d34b604629fa3e7f9290ea4e	opinion	organization	Yeah seems a bit random maybe they just hate ORGANIZATION.
279ecc6cf86090e279a2b30c0216b00eab7d6606	opinion	location	Its going to be in the LOCATION by the year 2026.
97ac1633f08b514a743ec3f7880c0a5dcb91be15	opinion	location	LOCATION is an interesting place.
762eb141b6eaa58bffc997c87c5923db867c373f	opinion	person	ya PERSON voice is too iconic for me I think that wouldn't work as well.
fe5e86e1bb2976543e7e21b8c8bb5d34075a067d	yes_no_question	person	Do you think he is faster than PERSON?
4e5edeffd22ec20305d7412cf9f5da449756c536	opinion	sport	I know people can be obsessive about SPORT.
2f0d7c74c182bdbc7f001dd69851ece74de65b9e	yes_no_question	videoname	Have you ever watch VIDEONAME?
bbd1717242e4723b0d21dde4e8983fb60df3aea8	statement	device	Yes I mostly just text on my DEVICE.
2c982f31473d6ef2d49a4a368835bf74508ba6a1	opinion	event	I guess there are EVENT as well.
183b10eaae3017e9454561a92f499b76f1ab28c1	opinion	softwareapplication	I do like to watch SOFTWAREAPPLICATION!
d242e3545a2ac1a747514630b6cb0a556bb88ee5	yes_no_question	organization	Oh so they are working with ORGANIZATION now?
fbd70472cfc9883cbf8788d58525031cfb5d0e62	open_question_opinion	person	What do you think of PERSON?
9c1740e4de168ed8d95c83065c37bac43461dd9b	statement	date	On DATE 11th.
1542168b5099619bdf9ed5dd94905178340b1f35	opinion	genre	I like GENRE.
af68686dc701203819c44618390068945630036c	opinion	organization	I cant believe how big ORGANIZATION is now.
f1e68379129852e4d5743337b3d148269670f7fa	statement	person	never heard of PERSON.
1de7bc4445a7e524a36765b77ca4d74e4d201ee1	opinion	vehicle	it would indeed be a great pleasure to ride a VEHICLE like to work.
228dd7d0a54332bb372e9624842dce46d1e867bc	statement	sport	I watch SPORT a little bit.
a1b0ffdc0c22a7196f80bd7a31b95938fdce967c	opinion	videoname	I really like the VIDEONAME.
02bcfa3559008a3d1844e171ff61eddc12451746	statement	date	I don't remember getting one on DATE.
47a00b2e193dcf58c66d7b125929f2c4310a2010	opinion	videoname	I loved watching VIDEONAME.
5ae4e60991b9df7a9df62ee679dc23f8cadfc140	statement	genre	I am not sure when GENRE showed up.
bd05df69f2b5960bfb3d37af2be09d92c56bb91e	opinion	videoname	I like his song VIDEONAME though.
34184720e64233a3238cfeefe439f691da454817	statement	duration	She makes more than 300.000 per DURATION off her page.
2af36b00440af92a907958e2ccc6a43249544fbc	pos_answer	genre	I like GENRE.
a1470cbc6732483246304021ba6d383a7e5ff18d	statement	videoname	Just watched that VIDEONAME movie.
e280875d480ebc02327a62c97a637eaa9a965e15	opinion	sport	The inventor of SPORT.
4fde0426784a7e6fe9354443a6980d815b8aba42	yes_no_question	person	Is it the PERSON?
819a3d08116de347c2f0dbe73e6e408b1ac0f06b	comment	videoname	it could be but  but they still call it the VIDEONAME which is cool
da689eeb717a6704d6f3ba3f584aef90583a8341	opinion	sport	SPORT is interesting.
40ce3acb38d974644d87674df31b1c3783d92618	opinion	person	It is PERSON more.
