midas_entity	text
opinion location	LOCATION.
opinion location	Well, if you ever want to visit LOCATION, I would be happy to show you around.
opinion location	I think that place is LOCATION.
opinion location	I think I'd say LOCATION.
opinion location	While the pale color symbolizes beauty and elegance in most LOCATION.
opinion number	I agree that NUMBER would be just about right.
opinion number	I won ’ t go any lower than $ NUMBER.
opinion number	NUMBER would be too large a figure to be used for a trial.
opinion number	NUMBER is by no means a large order.
opinion number	NUMBER would be good, don't you think?
opinion number	He got a NUMBER here which means it's unsatisfactory.
opinion number	NUMBER people.
opinion number	NUMBER is good.
opinion number	I believe I am a NUMBER.
opinion number	Well, I want to stay under $ NUMBER.
opinion organization	By ORGANIZATION, if that's ok.
opinion organization	ORGANIZATION is a wonderful institution.
opinion organization	ORGANIZATION was my first choice.
opinion organization	Hopefully, I ’ ll get accepted to ORGANIZATION.
opinion organization	Well, ORGANIZATION is famous for its speed and reliability.
opinion organization	I ’ d like to bring to ORGANIZATION not only my technical skills, ambition, enthusiasm, but also my loyalty.
opinion organization	My warmest congratulations on your entering the ORGANIZATION.
opinion organization	I had high hopes for ORGANIZATION.
opinion organization	I really wanted to get into ORGANIZATION.
opinion organization	I think it ’ s my acceptance letter from ORGANIZATION.
opinion person	I agree that PERSON doesn't teach so well.
opinion person	I have nothing but faith in PERSON.
opinion person	I thought that he was with PERSON.
opinion person	I know PERSON won't mind.
opinion person	PERSON.
opinion person	I thought you had trouble with PERSON!
opinion person	PERSON doesn't hold a grudge, if that's what you're worried about.
opinion person	That's probably PERSON.
opinion person	I feel nervous when I face PERSON.
opinion person	PERSON may be handsome, but I think he's a bit crazy, don't you?
opinion sport	I don't care about SPORT.
opinion sport	Sounds interesting, but SPORT doesn ’ t really appeal to me.
opinion sport	I would like to go SPORT.
opinion sport	I seldom play SPORT.
opinion sport	Sounds interesting, but SPORT doesn ’ t really appeal to me.
opinion sport	I like SPORT, but I prefer to be along with you.
opinion sport	Well, I like to play SPORT.
opinion sport	In my country, many people enjoy SPORT, but it is too expensive for some people.
opinion sport	well, I like to play SPORT.
opinion sport	I seldom play SPORT.
opinion sportteam	There is no doubt that the SPORTTEAM team will win.
opinion sportteam	if SPORTTEAM had played as they normally do, they should have won.
opinion sportteam	SPORTTEAM was my second choice, but I ’ m happy knowing I ’
opinion sportteam	I like SPORTTEAM.
opinion sportteam	SPORTTEAM.
opinion sportteam	SPORTTEAM.
opinion sportteam	SPORTTEAM.
opinion sportteam	SPORTTEAM?
opinion sportteam	I wonder if anyone can call the SPORTTEAM about this.
opinion sportteam	If SPORTTEAM had played as they normally do, they should have won.
opinion vehicle	I am glad I did not drive a VEHICLE.
opinion vehicle	I will be driving my VEHICLE.
opinion vehicle	I agree, but I would find it difficult to stop using my VEHICLE.
opinion vehicle	The VEHICLE?
opinion vehicle	I don't think we'll be able to find a VEHICLE very easily during hush hours.
opinion vehicle	I wonder if I can use your VEHICLE.
opinion vehicle	maybe if I sold my VEHICLE now, I wouldn't be so tempted to use it.
opinion vehicle	I don't think we'll be able to find a VEHICLE very easily during hush hours.
opinion vehicle	I agree, but I would find it difficult to stop using my VEHICLE.
opinion vehicle	I want to have a VEHICLE like that.
opinion videoname	Oh, and I can ’ t wait to watch VIDEONAME!
opinion videoname	VIDEONAME.
opinion videoname	VIDEONAME.
opinion videoname	The one VIDEONAME.
opinion videoname	I like VIDEONAME.
opinion videoname	VIDEONAME?
opinion videoname	VIDEONAME again?!
opinion videoname	Yes, I think I'd like the VIDEONAME in the middle.
opinion videoname	Well, I like VIDEONAME, but I can't decide yet.
opinion videoname	VIDEONAME.
statement date	DATE 23rd, please.
statement date	We start on DATE.
statement date	DATE the first is coming.
statement date	It usually gets here at noon on DATE, which is tomorrow.
statement date	Well, I guess on DATE, then you can eat.
statement date	It's DATE.
statement date	I think I got it on DATE, but it just showed up today.
statement date	Well, today is DATE.
statement date	I get paid on DATE, I'll pay you back then.
statement date	It was purchased on the 12th of DATE at 3
statement device	Yeah, try not to kick or hit the DEVICE!
statement device	At first I didn't know anything about the DEVICE.
statement device	Look, you can still learn a lot from watching DEVICE, you just need to be smart when you're watching.
statement device	I asked for leave and was at home when the DEVICE rang.
statement device	I'll go get the DEVICE.
statement device	And no DEVICE.
statement device	Not paying attention to the DEVICE?
statement device	And your DEVICE too.
statement device	while you ’ re cleaning the DEVICE, I ’ ll wipe the worktop.
statement device	In fact, she prefers DEVICE.
statement duration	About 300 a DURATION.
statement duration	DURATION.
statement duration	I ’ ll be here for approximately DURATION.
statement duration	In DURATION or so.
statement duration	It lasts for DURATION.
statement duration	I came here only a DURATION ago.
statement duration	For DURATION or so.
statement duration	On and off, for quite a DURATION.
statement duration	I left it DURATION ago.
statement duration	About DURATION ago.
statement location	My whole family are going to LOCATION for visiting.
statement location	Well, I ’ m from LOCATION.
statement location	My birthplace is LOCATION.
statement location	Anyway, we are arriving at LOCATION soon.
statement location	Last year when I visited LOCATION.
statement location	We are arriving at LOCATION.
statement location	LOCATION?
statement location	There is a stop at LOCATION.
statement location	But, you were born and raised in LOCATION!
statement location	You know, the one just on the corner with LOCATION.
statement number	We just got one in yesterday, so now we have NUMBER.
statement number	I wrote the check out for $ NUMBER.
statement number	I will take NUMBER.
statement number	I need at least 75,NUMBER per year.
statement number	I want to check these NUMBER pieces and I'll carry this overnight bag by myself.
statement number	NUMBER.
statement number	This one is $ NUMBER.
statement number	We have NUMBER.
statement number	It cost me a couple NUMBER for the whole set.
statement number	$ NUMBER dollars.
statement organization	I ’ ll just have to wait for ORGANIZATION.
statement organization	Yes, and turn right at the ORGANIZATION.
statement organization	I am going to register at ORGANIZATION next month.
statement organization	You must tell the ORGANIZATION about it.
statement organization	Yes, and turn right at the ORGANIZATION.
statement organization	I'm attending ORGANIZATION right now.
statement organization	I finally begin to get to know ORGANIZATION.
statement organization	I transferred from ORGANIZATION.
statement organization	I have a ORGANIZATION certificate.
statement organization	I got it from ORGANIZATION.
statement person	PERSON.
statement person	it ’ s about PERSON.
statement person	PERSON always tries to stay fit and healthy.
statement person	I am supposed to go to PERSON.
statement person	I already told you, because PERSON is in it.
statement person	PERSON.
statement person	Here comes PERSON, though.
statement person	Here comes PERSON, though.
statement person	Wonderful, PERSON is taking the lead.
statement person	It's PERSON.
statement sport	But I don't know how to play SPORT.
statement sport	Well, he was playing SPORT with some friends...
statement sport	Of course even people who don't know anything about SPORT know his name.
statement sport	We all went SPORT.
statement sport	Yes, I often go SPORT.
statement sport	It ’ s about as complicated as SPORT.
statement sport	Yes, actually I fell SPORT last week and hit my head.
statement sport	A great deal of people follow SPORT in my country.
statement sport	After SPORT practice.
statement sport	I often play SPORT with my parents.
statement vehicle	I don't want anything except a VEHICLE, thank you.
statement vehicle	Your VEHICLE is ready.
statement vehicle	We will need to know who will be driving the VEHICLE.
statement vehicle	I started driving the VEHICLE a few months ago.
statement vehicle	Just a VEHICLE, please.
statement vehicle	I ride my VEHICLE.
statement vehicle	Yeah, it sounds like it usually does when I start the VEHICLE, but nothing else happens.
statement vehicle	You mean we'll share the VEHICLE?
statement vehicle	I'll call the VEHICLE immediately, sir.
statement vehicle	we're already late, so I think we had better take a VEHICLE.
statement videoname	The only two drivers will be VIDEONAME.
statement videoname	Of course not, I have to watch my VIDEONAME.
statement videoname	It ’ s called VIDEONAME.
statement videoname	You mean VIDEONAME?
statement videoname	VIDEONAME.
statement videoname	VIDEONAME?
statement videoname	VIDEONAME!
statement videoname	Green, G-R-E-E-N, but just call me VIDEONAME.
statement videoname	Oh, VIDEONAME.
statement videoname	It ’ s called VIDEONAME.
yes_no_question date	Is DATE any better?
yes_no_question date	Would you like to come and have dinner with us on DATE?
yes_no_question date	are you available on DATE?
yes_no_question date	The question is, can he have it done before DATE?
yes_no_question date	But it's DATE, isn't it?
yes_no_question date	Isn't it a DATE?
yes_no_question date	Is 5 PM.DATE a good time for you?
yes_no_question date	Do I have to work on DATE?
yes_no_question date	Are you available on DATE?
yes_no_question date	I am free on DATE afternoon from 2 PM to 4 PM, is it convenient for you?
yes_no_question device	Did you check the DEVICE?
yes_no_question device	OK.Do I turn on the DEVICE or do I go straight?
yes_no_question device	Do we have a DEVICE?
yes_no_question device	Are you able to operate the DEVICE?
yes_no_question device	Did you like DEVICE?
yes_no_question device	Do you want DEVICE?
yes_no_question device	Can I bring my DEVICE with me?
yes_no_question device	Do you feel comfortable with the new system by DEVICE?
yes_no_question device	Does the TV have DEVICE?
yes_no_question device	Have you packed the DEVICE yet?
yes_no_question duration	Would you recommend going there for a DURATION?
yes_no_question duration	Then can you wait a DURATION?
yes_no_question duration	would you recommend going there for a DURATION?
yes_no_question duration	Do you think you could finish it in DURATION?
yes_no_question duration	Can you make it in DURATION.
yes_no_question duration	Well, you had more than one DURATION ; couldn't you have fit it in on another day?
yes_no_question duration	if you gave him another DURATION, do you think he could figure it out by then?
yes_no_question duration	Do you want me to wake you in DURATION?
yes_no_question duration	Would you come here in DURATION?
yes_no_question duration	Are you leaving right away or can you stay for a few more DURATION?
yes_no_question location	Hey, wouldn't it be great if we could go to LOCATION together sometime?
yes_no_question location	Did you go to LOCATION?
yes_no_question location	They are all produced in LOCATION, aren't they?
yes_no_question location	Are they from LOCATION?
yes_no_question location	Have you been to LOCATION?
yes_no_question location	Do you have a package tour to LOCATION?
yes_no_question location	Is it a long ride to LOCATION?
yes_no_question location	Is that very likely in LOCATION?
yes_no_question location	Have you been to LOCATION before?
yes_no_question location	Have you ever been to LOCATION?
yes_no_question person	Do you still remember PERSON?
yes_no_question person	did you have a fight with PERSON?
yes_no_question person	Do you know where PERSON is?
yes_no_question person	Could you tell him that PERSON phoned.
yes_no_question person	Oh, did you know PERSON?
yes_no_question person	Have you heard PERSON?
yes_no_question person	Do you really think the PERSON sent that?
yes_no_question person	Can't PERSON handle it?
yes_no_question person	Would PERSON be all right?
yes_no_question person	Would you like PERSON back?
yes_no_question vehicle	Do you think the VEHICLE will leave without me?
yes_no_question vehicle	Do you think I could borrow the VEHICLE?
yes_no_question vehicle	Is it fun driving the VEHICLE?
yes_no_question vehicle	Do you think I could borrow the VEHICLE?
yes_no_question vehicle	Do you have any experience driving a VEHICLE?
yes_no_question vehicle	Do you like to drive the VEHICLE?
yes_no_question vehicle	Should I take the VEHICLE?
yes_no_question vehicle	Do you think the VEHICLE will leave without me?
yes_no_question vehicle	Have you ever driven a VEHICLE before?
yes_no_question vehicle	Do you think the VEHICLE will leave without me?
