midas_entity	text
command person	Leave it to PERSON!
command position	Speaking of POSITION.
command position	Lets talk about POSITION next.
command position	lets talk about the POSITION next.
command position	We should refer to our current POSITION with a nickname too
command position	And what about our current POSITION?
command position	Speaking of POSITION.
command position	I enjoy talking about POSITION.
command position	Speaking of POSITION.
command position	Speaking of POSITION.
command position	Yeah DO you know much about POSITION?
command position	Speaking of POSITION.
command position	Speaking of POSITION.
command position	Do you know much about POSITION?
command position	Speaking of POSITION.
command position	Speaking of POSITION.
command position	speaking of POSITION.
command position	speaking of the POSITION.
command position	Speaking of POSITION.
command softwareapplication	What about SOFTWAREAPPLICATION.
command softwareapplication	Speaking of SOFTWAREAPPLICATION.
command softwareapplication	Time for some SOFTWAREAPPLICATION.
command softwareapplication	Speaking of SOFTWAREAPPLICATION.
command sport	Speaking of SPORT.
command sport	What about SPORT?
command sport	Speaking of SPORT.
command sport	Do you know anything about SPORT?
command sport	"True Do you know the highest core in SPORT?
"
command sport	yes lets talk about SPORT next.
command sport	You want to talk decisive wins in SPORT.
command sport	Speaking of SPORT.
command sport	What about SPORT.
command sport	How about that SPORT.
command sport	I have enjoyed talking about SPORT with you.
command sport	what about SPORT?
command sport	Ok...we'll talk about SPORT next then.
command sport	And not go play SPORT instead.
command sportteam	what about SPORTTEAM?
command sportteam	Close the SPORTTEAM.
command sportteam	No I didnt what about the SPORTTEAM?
command videoname	Lets talk about VIDEONAME.
command videoname	What about VIDEONAME?
command videoname	Speaking of VIDEONAME.
command videoname	Speaking of VIDEONAME.
command videoname	Speaking of VIDEONAME.
command videoname	I have heard of VIDEONAME but tell me more.
command videoname	Speaking of VIDEONAME.
command videoname	Contrast that with VIDEONAME.
command videoname	Talk about VIDEONAME.
command videoname	What about the VIDEONAME movie?
command videoname	Back to VIDEONAME.
command videoname	What about VIDEONAME?
command videoname	I would love to hear the original transmission of VIDEONAME.
command videoname	Speaking of VIDEONAME.
command videoname	What about VIDEONAME?
command year	Just like the one that happened in the YEAR?
comment device	That is quite compelling to look more into the DEVICE.
comment device	It is amazing how powerful our DEVICE are.
comment device	No I dont know how to play a DEVICE or even what it looks like lol Thats pretty cool.
comment device	yes it is pretty cool and also a little bit scary that they have access to our DEVICE
comment device	It is really incredible what our DEVICE can do these days.
comment device	Wow that did not work very well because the DEVICE has had tremendous sales
comment device	That's awfully light for a DEVICE.
comment device	It's pretty crazy how far DEVICE have come.
comment device	Yes it's actually better than DEVICE.
comment device	I personally think that the DEVICE used to make those eerie sounds looks pretty cool
comment duration	Well DURATION whole days of sleep actually sound wonderful atm
comment duration	That was a lot in DURATION!
comment duration	That's pretty crazy it took them DURATION to figure that out.
comment event	Yeah the EVENT get really interesting.
comment event	That is crazy they were in the EVENT!
comment genre	Huh that certainly seems like an interesting GENRE.
comment genre	Wow it was very interesting to talk about GENRE.
comment genre	"That amazing... Puts a new spin on the ""GENRE"" genre..."
comment genre	Now that is GENRE!
comment genre	Yeah there are some really good GENRE
comment genre	Thats funny considering his like the mastermind of GENRE
comment genre	It was GENRE.
comment location	he did do some amazing things in LOCATION...
comment location	It's really big and powerful system in the LOCATION
comment location	That's big in LOCATION
comment location	Yeah that is really nice of LOCATION.
comment location	Ah that is very similar to LOCATION.
comment location	LOCATION is interesting.
comment location	Good for LOCATION.
comment location	from LOCATION thats interesting.
comment location	LOCATION is looking like a great place to live.
comment location	That's so expensive just to cross the LOCATION!
comment location	LOCATION is big.
comment location	It is strange in LOCATION.
comment location	That sounds like LOCATION.
comment location	That is sad for LOCATION.
comment location	The LOCATION is a pretty good place.
comment location	Wow. sounds kind of hard to get around in LOCATION.
comment location	We are truly newcomers to this LOCATION.
comment location	Thats a really interesting fact about LOCATION.
comment location	LOCATION is  a tough town.
comment location	LOCATION is crazy.
comment location	That is really cool you went to LOCATION.
comment location	That sounds like the LOCATION.
comment location	LOCATION is a very progressive place.
comment location	That's pretty cool LOCATION does that.
comment location	That's pretty drastic for LOCATION.
comment location	Oh that is unfortunate for LOCATION and quite ironic given the name.
comment number	Woah that is impressive crazy how they appeared NUMBER years ago.
comment number	Wow $NUMBER dollars.
comment organization	It was a smart move by ORGANIZATION.
comment organization	That's a cool connection with ORGANIZATION!
comment organization	That's nice of ORGANIZATION.
comment organization	Good for ORGANIZATION!
comment organization	Yeah that is interesting about ORGANIZATION.
comment organization	Yeah he is a great player of the ORGANIZATION.
comment organization	Yes that is super convenient and all thanks to their contract with ORGANIZATION
comment organization	That's a very bad day for ORGANIZATION.
comment organization	That's a huge loss for ORGANIZATION.
comment organization	It was rather genius of ORGANIZATION if you ask me.
comment organization	I did and man did they make a big mistake by not buying ORGANIZATION when they could
comment organization	It's pretty amazing how far ORGANIZATION has come since being started in 2004
comment organization	yeah that is pretty nuts but its a great way for ORGANIZATION to advertise
comment organization	ORGANIZATION thought it was going to flop...how crazy
comment organization	That's great of ORGANIZATION.
comment organization	The ORGANIZATION thing was actually really neat.
comment organization	That is really considerate of ORGANIZATION.
comment organization	Wow you know a lot about the ORGANIZATION.
comment organization	It's cool that they price match ORGANIZATION!
comment organization	It's crazy how big ORGANIZATION has grown.
comment organization	That's true with ORGANIZATION.
comment organization	Yeah thanks to a contract with the ORGANIZATION How convenient for us
comment organization	That's very good of ORGANIZATION.
comment organization	That was not nice of ORGANIZATION.
comment party	PARTY are not happy with that
comment person	PERSON is an amazing person.
comment person	it is interesting PERSON is not listed as one of the wealthiest
comment person	wow that is crazy because PERSON is great.
comment person	PERSON was a funny guy.
comment person	Yeah I've been following it a lot it doesn't look good for PERSON
comment person	Yeah it's weird to think of anybody messing with PERSON.
comment person	PERSON did alright for himself
comment person	Yeah the PERSON story is really awesome.
comment person	Funny for PERSON.
comment person	Yeah PERSON was a smart guy like you say.
comment person	It was fun with PERSON.
comment person	That's hilarious he was scared of PERSON.
comment person	That must've been so awful for PERSON.
comment person	That must have felt great for PERSON.
comment person	You are very angry at PERSON.
comment person	I did not know PERSON was so smart
comment person	That is shocking about PERSON.
comment person	It's crazy that PERSON is so old though.
comment person	actually he (PERSON) was really good
comment person	PERSON is past his prime but still a very wanted player
comment person	You're really lucky to have met PERSON.
comment person	That is messed up they must really hate PERSON there lol
comment person	That is a good feat by PERSON.
comment person	PERSON is a strange nickname that definitely needs some context to understand
comment person	PERSON must have had it tough.
comment person	PERSON was a pretty smart guy.
comment person	PERSON was a legend he's was a very small but great fighter
comment person	Yeah that is a lot of PERSON for sure
comment person	I think PERSON a great thing.
comment person	That is crazy about PERSON.
comment person	Yeah PERSON was pretty bad.
comment person	That was a unique interpretation of PERSON!
comment person	It must be tough for PERSON.
comment person	That sounds like a love/hate relationship you have with PERSON?
comment person	That is a success for PERSON.
comment person	that was smart of PERSON to take that reebok deal
comment person	PERSON was a really smart man.
comment person	Yeah PERSON was really good.
comment person	That is too bad for PERSON.
comment person	That is admirable do you like PERSON.
comment person	Yeah what happened to PERSON was crazy.
comment person	That sounds like a nice thing you have going on there and they used to tease PERSON a lot because of that
comment person	That's gotta infuriate PERSON.
comment person	It was great chatting and remember to keep an eye for PERSON he is a great musician
comment person	Oh wow. Are you familiar with PERSON?
comment person	Haha yeah PERSON sounds pretty bad.
comment person	That's gotta make PERSON angry!
comment person	It's crazy to think only PERSON makes more than her
comment person	Yeah that is so cool and it was performed by PERSON
comment person	Wow. was one of them PERSON?
comment person	Oh wow that says a lot about PERSON!
comment person	PERSON is pretty funny
comment person	Really looked like PERSON to me...Yea creepy movie!
comment person	That is really PERSON
comment person	PERSON is pretty cool.
comment person	What PERSON did is unusual.
comment person	Haha never but that's funny he did that to PERSON!
comment person	But I can agree that PERSON baby is bad
comment person	PERSON has certainly matured over the years and had his ups and downs for sure
comment person	Yeah it's shocking that they were fining PERSON.
comment person	"That seems like a ""PERSON"" thing to do."
comment person	Yea I think PERSON has said a lot of cruel and misogynistic things
comment person	Nice!  (Except for PERSON)
comment person	That's weird for PERSON.
comment person	That makes me sad for PERSON!
comment position	That's pretty funny considering he became a POSITION not much longer.
comment position	I think he is a horrible example of a POSITION
comment position	That is surprising and a good POSITION nickname would crack me up
comment position	Yes our POSITION is unique.
comment position	What a POSITION.
comment position	What an odd time to be POSITION.
comment position	Yeah he was a great POSITION.
comment position	It is sad that we stereotype POSITION into certain looks.
comment position	It's tough being POSITION.
comment softwareapplication	That was a straight loss for SOFTWAREAPPLICATION.
comment softwareapplication	It's crazy how much stuff is done on SOFTWAREAPPLICATION.
comment softwareapplication	It's funny you mentioned SOFTWAREAPPLICATION...
comment softwareapplication	"SOFTWAREAPPLICATION is a remarkable technical achievement
"
comment sport	That was not a good SPORT decision trying to steal that base.
comment sport	SPORT can be good.
comment sport	It's really a genius idea! sad because I like SPORT a lot.
comment sport	wow that is a lot of SPORT!
comment sport	That's nuts because SPORT isn't that popular!
comment sport	wow you really know your SPORT facts.
comment sport	Isn't it called SPORT LOL that's a really dumb name.
comment sport	It was a great time for SPORT indeed.
comment sport	It's a good description of how SPORT works.
comment sport	Its very bad time to SPORT.
comment sportteam	SPORTTEAM are on the edge right now
comment sportteam	SPORTTEAM are good.
comment sportteam	they really had some doozies against SPORTTEAM last year for sure
comment sportteam	He was a great player for SPORTTEAM.
comment sportteam	It's hard to bet against SPORTTEAM.
comment sportteam	That's amazing but bad news for SPORTTEAM.
comment sportteam	Yeah SPORTTEAM are definitely a stacked team.
comment sportteam	SPORTTEAM are a great team.
comment sportteam	It's going to be tough for SPORTTEAM.
comment vehicle	That was smart thinking to use a VEHICLE!
comment vehicle	It's funny how far we've come since the VEHICLE was invented in 1886
comment vehicle	Yes but they reason that for the fact that they need to protect their VEHICLE so that makes sense
comment videoname	Yeah VIDEONAME was funny.
comment videoname	it could be but  but they still call it the VIDEONAME which is cool
comment videoname	Oh right VIDEONAME that was a cool movie!
comment videoname	VIDEONAME.
comment videoname	VIDEONAME!
comment videoname	Wow that's pretty good in that many years of VIDEONAME.
comment videoname	Even VIDEONAME were funny.
comment videoname	VIDEONAME!
comment videoname	VIDEONAME!
comment videoname	VIDEONAME!
comment videoname	VIDEONAME.
comment videoname	VIDEONAME.
comment videoname	VIDEONAME.
comment videoname	VIDEONAME was good.
comment videoname	VIDEONAME.
comment videoname	VIDEONAME!
comment videoname	VIDEONAME do sound majestic
comment videoname	VIDEONAME was a good movie.
comment videoname	That would be VIDEONAME.
comment videoname	VIDEONAME was a very good movie.
comment videoname	VIDEONAME!
comment videoname	VIDEONAME...
comment videoname	VIDEONAME.
comment videoname	VIDEONAME!
comment videoname	VIDEONAME!
comment videoname	oh that's cool coming from VIDEONAME.
comment videoname	They need to remake the VIDEONAME movies because the last one wasn't too good
comment videoname	VIDEONAME :)
comment videoname	VIDEONAME.
comment videoname	That is crazy of VIDEONAME!
comment videoname	It is very VIDEONAME!
comment videoname	VIDEONAME.
comment year	Yes they take place in the YEAR and that is pretty interesting
comment year	It's crazy to think that this all started in the early YEAR.
complaint gamename	Hey. have you ever played GAMENAME?
complaint genre	Oh I am not convincing you to watch GENRE.
complaint location	Whoa!  Could you imagine that here in the LOCATION?
complaint location	Now you're defending LOCATION?
complaint location	Come on LOCATION!
complaint location	Don't go in LOCATION.
complaint number	Oh. which NUMBER versions?
complaint organization	You don't know what ORGANIZATION is?
complaint organization	Like the ORGANIZATION admits it was wrong with anything in a timely manner?!?!?!
complaint person	Hey. have you been hearing anything lately about PERSON?
complaint person	Oh. was that PERSON?
complaint person	PERSON...
complaint person	Oh. was that the competition with PERSON too?
complaint person	Don't give PERSON any ideas.
complaint person	Oh. PERSON?
complaint softwareapplication	Who doesn't browse SOFTWAREAPPLICATION now and again
complaint softwareapplication	You never heard of SOFTWAREAPPLICATION?
complaint softwareapplication	No!  I wonder if that's on SOFTWAREAPPLICATION?
complaint sport	You know a lot about SPORT.
complaint videoname	VIDEONAME.
complaint videoname	Oh. sounds like VIDEONAME.
complaint videoname	Say what???She was from the movie VIDEONAME.
complaint videoname	Oh . you must watch the next season of VIDEONAME it only gets better!
complaint videoname	VIDEONAME.
dev_command device	Right and don't misplace your DEVICE
dev_command genre	GENRE!
dev_command sport	Keep learning and enjoying SPORT!
dev_command videoname	VIDEONAME.
neg_answer device	I do not have an DEVICE.
neg_answer device	Never heard of a DEVICE.
neg_answer device	I don't use an DEVICE.
neg_answer device	No. did it have something to do with DEVICE?
neg_answer device	No they just have a DEVICE.
neg_answer device	I do not own an DEVICE.
neg_answer duration	No we have went a couple DURATION though.
neg_answer event	No EVENT for them!
neg_answer genre	I don't play GENRE at all.
neg_answer genre	No.  I guess it's musical of sorts and a GENRE.
neg_answer genre	I didn't know that about GENRE.
neg_answer genre	No I dont think GENRE is his thing.
neg_answer location	I didnt know that about LOCATION.
neg_answer location	No the LOCATION had not been built at that point.
neg_answer location	I havent been to LOCATION.
neg_answer location	No he lives in the LOCATION currently.
neg_answer location	I did not know it is a right in LOCATION!
neg_answer location	It wasn't LOCATION.
neg_answer location	Not since I found out they were made in LOCATION.
neg_answer location	Not in LOCATION.
neg_answer location	Never been to LOCATION.
neg_answer location	Not at LOCATION...
neg_answer location	No.  Not in LOCATION.
neg_answer location	Not in LOCATION.
neg_answer organization	No. same here with ORGANIZATION.
neg_answer organization	No. who created ORGANIZATION?
neg_answer organization	I dont watch ORGANIZATION.
neg_answer person	I have not heard of PERSON.
neg_answer person	No PERSON in there.
neg_answer person	No idea who PERSON is.
neg_answer person	I do not know a PERSON.
neg_answer person	I don't know PERSON.
neg_answer person	Oh don't get me started on PERSON.
neg_answer person	I didn't know PERSON did that.
neg_answer person	No. who is PERSON.
neg_answer person	No. PERSON was not big around here.
neg_answer person	No. and not for the length of time that PERSON has.
neg_answer person	I did not know that PERSON did that.
neg_answer person	No it is actually PERSON.
neg_answer person	No its not PERSON.
neg_answer person	No. who is in that? is that about PERSON?
neg_answer position	no. lets talk about the POSITION next.
neg_answer softwareapplication	No I don't follow  him on SOFTWAREAPPLICATION.
neg_answer softwareapplication	No we don't have SOFTWAREAPPLICATION.
neg_answer softwareapplication	No. not on SOFTWAREAPPLICATION.
neg_answer softwareapplication	I don't watch SOFTWAREAPPLICATION now.
neg_answer softwareapplication	No I don't you normally listen to SOFTWAREAPPLICATION.
neg_answer softwareapplication	No. Usually use SOFTWAREAPPLICATION.
neg_answer softwareapplication	Not so much now that I have SOFTWAREAPPLICATION.
neg_answer sport	No its like SPORT.
neg_answer sport	no i dont  watch SPORT much.
neg_answer sport	No I hardly watch SPORT.
neg_answer sport	I dont follow SPORT.
neg_answer sport	No I dont watch any SPORT.
neg_answer sport	Only SPORT players other than that no.
neg_answer sport	I dont watch SPORT.
neg_answer sport	No I don't watch SPORT.
neg_answer sportteam	No SPORTTEAM have been bad for quite some time now.
neg_answer sportteam	No it was SPORTTEAM.
neg_answer sportteam	No I do not like SPORTTEAM.
neg_answer vehicle	i do not own a VEHICLE.
neg_answer videoname	VIDEONAME.
neg_answer videoname	I don't watch VIDEONAME.
neg_answer videoname	Don't like VIDEONAME.
neg_answer videoname	I have not heard about the VIDEONAME.
neg_answer videoname	Nope. VIDEONAME!
neg_answer videoname	No.  But I have seen VIDEONAME about a dozen times.
neg_answer videoname	No I have not seen VIDEONAME.
neg_answer videoname	I haven't seen VIDEONAME.
neg_answer videoname	I didn't watch VIDEONAME.
open_question_factual device	How often do use the DEVICE by the way?
open_question_factual device	All that power on our DEVICE and what do we do.
open_question_factual device	Hmm what is a DEVICE?
open_question_factual device	I wonder how much the DEVICE cost for it?
open_question_factual device	I wonder how old their DEVICE are
open_question_factual device	Omg....whats a DEVICE???
open_question_factual device	I can't say that I've heard of the DEVICE - what is it?
open_question_factual device	How long have you had your DEVICE?
open_question_factual device	How do you make a DEVICE?
open_question_factual device	I wonder what the DEVICE was?
open_question_factual device	What kind of DEVICE do you have?
open_question_factual event	I wonder how long is the EVENT.
open_question_factual event	So who did win the EVENT this year?
open_question_factual event	Who did they play in the EVENT again?
open_question_factual genre	Since when has GENRE been around?
open_question_factual location	What was she going to LOCATION for?
open_question_factual location	What did she do for LOCATION?
open_question_factual location	What happened in LOCATION?
open_question_factual location	I wonder who the IT guy is on LOCATION.
open_question_factual location	Makes you wonder what's going on in LOCATION?
open_question_factual location	How old is the LOCATION?
open_question_factual location	What did LOCATION do?
open_question_factual location	How  can you listen to LOCATION ?
open_question_factual location	How long does LOCATION take?
open_question_factual location	I wonder how many years that LOCATION will have.
open_question_factual location	Where is LOCATION?
open_question_factual location	Why in the world would it be bigger than the actual LOCATION though.
open_question_factual location	I wonder how much of the LOCATION she actually digests
open_question_factual number	And what else could be done with $NUMBER?
open_question_factual number	What is a NUMBER
open_question_factual number	Yeah how did they come up with NUMBER being the fastest anyways?
open_question_factual organization	What do you primarily use ORGANIZATION for now?
open_question_factual organization	What do you tend to search on ORGANIZATION?
open_question_factual organization	Who is ORGANIZATION.
open_question_factual organization	And this the reason why he started ORGANIZATION in the first place?
open_question_factual organization	"what does it mean ""had the word ORGANIZATION?"""
open_question_factual organization	What was the ORGANIZATION even doing with them?
open_question_factual organization	Ya what is with the ORGANIZATION and their eating practices?
open_question_factual organization	Which year did you get your first ORGANIZATION?
open_question_factual organization	What do you mean you have to pay a lot of people in the ORGANIZATION?
open_question_factual organization	How much they were asking to ORGANIZATION ?
open_question_factual organization	I wonder how much the bosses of ORGANIZATION have?
open_question_factual organization	But why the ORGANIZATION would be involved with this ?
open_question_factual organization	How does ORGANIZATION get away with it then?
open_question_factual organization	So what do you usually search on ORGANIZATION?
open_question_factual person	Who is PERSON?
open_question_factual person	What's going on with PERSON.
open_question_factual person	I wonder how much PERSON.
open_question_factual person	What else can you tell me about PERSON?
open_question_factual person	I wonder what other work PERSON gets.
open_question_factual person	Who's PERSON?
open_question_factual person	I wonder how PERSON got that nickname.
open_question_factual person	Who?  PERSON?
open_question_factual person	Who is PERSON?
open_question_factual person	Who was PERSON.
open_question_factual person	No who is PERSON?
open_question_factual person	Who is PERSON?
open_question_factual person	Hahah  I wonder how long ago PERSON was around?
open_question_factual person	Who is PERSON?
open_question_factual person	Who is PERSON?
open_question_factual person	What does it say that I didn't know PERSON was dead.
open_question_factual person	Who is PERSON.
open_question_factual person	How can they bring all of those people back that PERSON killed?
open_question_factual person	I wonder where PERSON is on that list?
open_question_factual person	What deal did PERSON sign?
open_question_factual person	What has PERSON been paid to act in?
open_question_factual person	What cant PERSON do?
open_question_factual person	Where is PERSON in his name then?
open_question_factual person	Who is PERSON?
open_question_factual person	Why did they teach PERSON to drive at age 3?  
open_question_factual person	What was PERSON known for?
open_question_factual person	How much does PERSON make?
open_question_factual person	Who is PERSON?
open_question_factual person	How much longer before PERSON retires?
open_question_factual person	Who was PERSON?
open_question_factual person	Who is PERSON?
open_question_factual person	I meant what team is PERSON on.
open_question_factual person	Who is PERSON.
open_question_factual person	What was PERSON famous for?
open_question_factual person	Who is PERSON?
open_question_factual person	Who is PERSON?
open_question_factual person	who is PERSON?
open_question_factual person	What did PERSON do?
open_question_factual position	What are the names of those POSITION?
open_question_factual position	Who was the first POSITION to live there?
open_question_factual position	Who really knows who these POSITION are on the inside?
open_question_factual position	No telling which POSITION did that?
open_question_factual position	I wonder how many POSITION that's been?
open_question_factual softwareapplication	I wonder what SOFTWAREAPPLICATION was thinking.
open_question_factual softwareapplication	wow i wonder how many SOFTWAREAPPLICATION that drive is
open_question_factual sport	I wonder what the median age for SPORT is?
open_question_factual sport	Speaking of SPORT how often you watch it?
open_question_factual sport	So what kind of SPORT do you follow ?
open_question_factual sportteam	Who is the big player on SPORTTEAM?
open_question_factual sportteam	How did SPORTTEAM do this season?
open_question_factual vehicle	I wonder how far back VEHICLE date?
open_question_factual vehicle	How often do you drive your VEHICLE by the way?
open_question_factual videoname	What is the VIDEONAME?
open_question_factual videoname	What was VIDEONAME about?
open_question_factual videoname	What was the VIDEONAME?
open_question_factual videoname	I wonder how long VIDEONAME has been on.
open_question_factual videoname	what VIDEONAME ?
open_question_factual videoname	What is the VIDEONAME movement?
open_question_factual videoname	"What's ""VIDEONAME"" ?"
open_question_factual videoname	When was VIDEONAME made?
open_question_factual videoname	What is the VIDEONAME?
open_question_opinion device	I wonder what they did before DEVICE?
open_question_opinion device	What do you think of DEVICE?
open_question_opinion device	Who wants to be in a DEVICE?
open_question_opinion device	Why not DEVICE?
open_question_opinion event	Who do you think will make it to the EVENT if you had to guess?
open_question_opinion event	Yeah so what do you think about the EVENT?
open_question_opinion event	Who do you think will win the EVENT this year?
open_question_opinion genre	What's your favorite GENRE?
open_question_opinion genre	Which is you favorite GENRE ?
open_question_opinion genre	How do you feel about GENRE.
open_question_opinion genre	What type of GENRE do you like?
open_question_opinion genre	How much do you like GENRE
open_question_opinion genre	What do you think about GENRE?
open_question_opinion genre	What do you think about GENRE?
open_question_opinion genre	What are your thoughts on GENRE?
open_question_opinion genre	What would you say is the key highlight of GENRE?
open_question_opinion genre	How into GENRE are you?
open_question_opinion genre	What's your favorite GENRE?
open_question_opinion location	What do you think about the next one being held in LOCATION?
open_question_opinion location	Why can't we do what the LOCATION did.
open_question_opinion location	Why do you think LOCATION was so lucky to get that number?
open_question_opinion location	I wonder what the big issues what be on LOCATION.
open_question_opinion location	How about LOCATION.
open_question_opinion location	Why LOCATION?
open_question_opinion location	Why the LOCATION?
open_question_opinion location	Why does LOCATION get  to choose?
open_question_opinion organization	What about ORGANIZATION?
open_question_opinion organization	What do you think about ORGANIZATION.
open_question_opinion organization	I wonder how you do that with ORGANIZATION?
open_question_opinion organization	Why would ORGANIZATION know?  Also.
open_question_opinion organization	Why did ORGANIZATION.
open_question_opinion organization	Yes and I love to shop on ORGANIZATION and you?
open_question_opinion organization	What do you think about ORGANIZATION?
open_question_opinion organization	Why don't you like ORGANIZATION?
open_question_opinion organization	How do you like ORGANIZATION?
open_question_opinion organization	So what do you think of ORGANIZATION?
open_question_opinion party	Why register PARTY then?
open_question_opinion person	What do you think about PERSON?
open_question_opinion person	I've seen PERSON so far how about you?
open_question_opinion person	How about PERSON?
open_question_opinion person	Any particular reason you're hesitant about PERSON.
open_question_opinion person	How about PERSON?
open_question_opinion person	Haha I love the name LOL what do you think about PERSON?
open_question_opinion person	How about that PERSON?
open_question_opinion person	And what about PERSON?
open_question_opinion person	What do you think of PERSON?
open_question_opinion person	How about PERSON.
open_question_opinion person	How cool would that be to have PERSON as your teacher.
open_question_opinion person	I love PERSON...how about you?
open_question_opinion person	What do you think about PERSON?
open_question_opinion person	I wonder what PERSON will be remembered for.
open_question_opinion person	What do you think about PERSON by the way?
open_question_opinion person	What do you think of PERSON?
open_question_opinion person	What do you think of PERSON?
open_question_opinion person	What do you think PERSON would drive thru in?
open_question_opinion person	what do you think of PERSON btw?
open_question_opinion person	Yeah so changing the subject a bit what are your thoughts on PERSON?
open_question_opinion person	I wonder what PERSON thought about that.
open_question_opinion person	Yeah PERSON is one of my favorite what do you think about the newcomers?
open_question_opinion person	How can anyone not be a fan of PERSON?
open_question_opinion person	Why is it you enjoy PERSON.
open_question_opinion person	How about PERSON?
open_question_opinion person	How about PERSON?
open_question_opinion person	What did you think of PERSON in it?
open_question_opinion person	How about PERSON.
open_question_opinion person	What do you think about PERSON?
open_question_opinion person	What are your thoughts on PERSON?
open_question_opinion person	What do you think of PERSON?
open_question_opinion person	How about PERSON?
open_question_opinion person	That is impressive...of all the things people talk about with PERSON why do they leave that out?
open_question_opinion person	What do you think of PERSON?
open_question_opinion person	Yes what would PERSON do?
open_question_opinion person	How do you feel about PERSON?
open_question_opinion person	How do think things would of worked out if PERSON was vp?
open_question_opinion person	What about PERSON.
open_question_opinion person	So how do you feel about PERSON?
open_question_opinion person	What do you think of PERSON?
open_question_opinion person	what do you think of PERSON?
open_question_opinion person	So how do you feel about PERSON?
open_question_opinion person	Mine is PERSON what about yours?
open_question_opinion person	I wonder where PERSON falls in that category?
open_question_opinion person	Well I really like PERSON I think hes a really cool dude what about you?
open_question_opinion person	What do you think about PERSON?
open_question_opinion person	What do you think about PERSON?
open_question_opinion position	What respectful name would you give to the POSITION ?
open_question_opinion position	So what do you think about our POSITION.
open_question_opinion position	Well what do you think about the POSITION?
open_question_opinion position	I wonder were the current POSITION ranks among them
open_question_opinion position	What do you think about the POSITION?
open_question_opinion position	So what do you think about the POSITION?
