midas_entity	text
open_question_opinion number	Hmm, how about NUMBER?
open_question_opinion number	How about NUMBER?
open_question_opinion number	How about NUMBER?
open_question_opinion number	Hmm, how about NUMBER?
open_question_opinion number	What about NUMBER?
open_question_opinion number	Well, how about NUMBER discount?
open_question_opinion number	How about NUMBER?
open_question_opinion number	How about NUMBER?
open_question_opinion organization	Well, how about the ORGANIZATION?
open_question_opinion organization	Well, how about the ORGANIZATION?
open_question_opinion organization	Why didn ’ t you just stay at ORGANIZATION?
open_question_opinion organization	Why don't we go to the ORGANIZATION instead?
open_question_opinion organization	What about my ORGANIZATION?
open_question_opinion person	How about some PERSON?
open_question_opinion person	How about PERSON?
open_question_opinion person	Why don't you ask PERSON if he can help?
open_question_opinion person	Why don ’ t you marry PERSON, then?
open_question_opinion person	Go on your vacation with PERSON and when you come back, why don't you just move in with him as well!
open_question_opinion person	How about PERSON?
open_question_opinion person	How about PERSON?
open_question_opinion person	Why would anyone vote for PERSON?
open_question_opinion person	how about PERSON?
open_question_opinion position	Who was your vote for POSITION?
open_question_opinion sport	How about playing SPORT with me?
open_question_opinion sport	What style of SPORT do you like best?
open_question_opinion sport	How about going for SPORT around 10
open_question_opinion sport	But why do you choose SPORT at first?
open_question_opinion vehicle	In that case, how about a VEHICLE?
open_question_opinion videoname	How about VIDEONAME?
open_question_opinion videoname	How about ‘ VIDEONAME? ’
open_question_opinion videoname	What about VIDEONAME?
opinion date	DATE is good.
opinion date	DATE is fine.
opinion date	By the middle of DATE, I think.
opinion date	It gets better on DATE, though.
opinion date	I think that DATE would work.
opinion date	Hmm, I guess on the DATE.
opinion date	Well, I'm afraid DATE is out for me.
opinion date	Hopefully, we ’ ll both have relaxing DATE.
opinion date	I guess you can write that I'm looking forward to seeing them in DATE.
opinion date	See you on DATE, then.
opinion date	DATE is perfect.
opinion date	Oh, I hope it be fixed on DATE.
opinion date	I ’ m glad they ’ re coming in DATE.
opinion date	And hopefully they are going to confirm the deal on DATE, fingers crossed.
opinion date	Any day except DATE.
opinion date	Hmm, I guess on the DATE.
opinion date	I want to come in on DATE.
opinion date	OK.Any time on DATE will be OK with me.
opinion date	It gets better on DATE, though.
opinion date	I would like to come in on DATE.
opinion device	When he pulled out the DEVICE, I got so scared.
opinion device	The cords that you see behind your DEVICE that plug into an outlet.
opinion device	I hope you have a good DEVICE.
opinion device	You really shouldn't watch so much DEVICE.
opinion device	I hate DEVICE.
opinion device	It's better because it doesn't tie up the DEVICE.
opinion device	This DEVICE is of very high quality.
opinion device	I like it here at DEVICE.
opinion device	It could be the DEVICE.
opinion device	You can also play DEVICE on it if you hook it up to your TV.
opinion device	I like DEVICE.
opinion device	I never did like this DEVICE anyway.
opinion device	DEVICE is perfectly fine for me.
opinion device	We should choose from the DEVICE.
opinion device	I think DEVICE is a lot better than here.
opinion device	that's one of the problems with having an DEVICE.
opinion device	I like playing the DEVICE.
opinion device	I don't want DEVICE.
opinion device	I was so scared when I saw the DEVICE.
opinion device	I think the only thing is DEVICE.
opinion device	I like DEVICE better.
opinion device	But I don't like playing the DEVICE.
opinion device	Perhaps it's the DEVICE then?
opinion device	I'm surprised you don't use more of the features on your DEVICE.
opinion device	A DEVICE is something most people appreciate.
opinion device	A DEVICE would be an excellent gift.
opinion device	I think I ’ d like to just get another DEVICE, please.
opinion device	DEVICE is great!
opinion device	You could always take the DEVICE.
opinion device	Perhaps it's the DEVICE then?
opinion device	Maybe the DEVICE is going bad.
opinion device	I hate DEVICE.
opinion device	This DEVICE is of very high quality.
opinion device	I expect to operate DEVICE.
opinion device	Maybe his DEVICE is out of order.
opinion device	I don't want DEVICE.
opinion device	And the DEVICE has some fragile items inside, so please be careful with that too.
opinion duration	Yes, that could have been it, but I haven ’ t been feeling that great for the past DURATION.
opinion duration	I think it was about DURATION long.
opinion duration	If I were you, I would take a DURATION to take care of those things before you move in.
opinion duration	I'm afraid it would take DURATION at most.
opinion duration	Of course, she should take DURATION.
opinion duration	DURATION.
opinion duration	I think about DURATION.
opinion duration	Well, between $ 350-400 a DURATION.
opinion duration	Perhaps you can try the DURATION date, the latest type.
opinion duration	Maybe I could get back to you in a DURATION.
opinion duration	I think it's soon, maybe in a DURATION.
opinion duration	Perhaps you can try the DURATION date, the latest type.
opinion duration	Well, DURATION would be fine, too.
opinion duration	at least you didn't waste time thinking about what you were going to wear every DURATION!
opinion duration	I think it's soon, maybe in a DURATION.
opinion duration	I think he'll be back in about an DURATION at least.
opinion duration	Maybe I'll cook once or twice a DURATION.
opinion duration	You know, I think it would be better if I could pick it up in DURATION.
opinion duration	Working at DURATION is something I hate to do most.
opinion duration	If it is not more than DURATION past its due date, then you may still mail it in.
opinion duration	DURATION, that will be all right.
opinion duration	Working at DURATION is something I hate to do most.
opinion duration	DURATION ' time will be OK.
opinion duration	If I survive the next DURATION.
opinion duration	I'd like to go and live there for at least another DURATION.
opinion duration	I don't really enjoy big occasions, but I think I ’ ll come round to the idea in the end, It only happens once in a DURATION.
opinion duration	I'm afraid it will take DURATION at most.
opinion duration	Well, I'm only here for DURATION, so I think 500 GAP should be plenty.
opinion duration	I guess I'll wait a few more DURATION.
opinion duration	Maybe we could try it again in a DURATION when things have settled down.
opinion duration	I think he'll be back in about an DURATION at least.
opinion duration	I think we should go for DURATION.
opinion duration	I'm sorry I haven't dropped in that much these past DURATION.
opinion duration	It takes only one DURATION and you could experience almost all the famous spots in the city, I don't think you would like to miss it.
opinion event	I hope you'll do better in the EVENT.
opinion event	Well, being able to go to the EVENT sounds like such a great opportunity.
opinion event	Mostly on the EVENT.
opinion event	It has got this year's EVENT.
opinion gamename	GAMENAME is such a good game.
opinion gamename	Well, I like collecting GAMENAME!
opinion genre	Like GENRE?
opinion genre	Yes, GENRE is my favorite.
opinion genre	GENRE is my favorite.
opinion genre	Actually, I mostly just listen GENRE.
opinion genre	GENRE is my favorite.
opinion genre	GENRE is my favorite.
opinion genre	But you don't have such a problem as to GENRE.
opinion genre	that is to say, you like all genres except for GENRE.
opinion genre	GENRE?
opinion genre	GENRE?
opinion genre	GENRE doesn't have any depth for me.
opinion genre	GENRE.
opinion genre	To tell you the truth, I'm strictly into GENRE.
opinion genre	GENRE.
opinion genre	I think I like GENRE better.
opinion genre	I like GENRE.
opinion genre	GENRE is my favorite.
opinion genre	She's very fond of GENRE?
opinion genre	I must admit that I like several pieces of GENRE.
opinion genre	I must admit that I like several pieces of GENRE.
opinion genre	I like GENRE a lot.
opinion genre	I like GENRE because I like to be scared.
opinion genre	I don't like GENRE very much.
opinion genre	GENRE is my favorite.
opinion genre	actually, I mostly just listen GENRE.
opinion genre	I like GENRE.
opinion genre	That is to say, you like all genres except for GENRE.
opinion genre	I like GENRE.
opinion genre	I am interested in GENRE.
opinion genre	She's very fond of GENRE?
opinion genre	I Like GENRE best.
opinion genre	Sorry, I forgot to mention that I don't like GENRE much, either.
opinion genre	GENRE.
opinion genre	I like GENRE.
opinion genre	She's very fond of GENRE?
opinion genre	GENRE?
opinion genre	I don't care for a GENRE.
opinion genre	I like GENRE.
opinion genre	She's very fond of GENRE.
opinion location	I've always wanted to go to LOCATION.
opinion location	I guess LOCATION is finally maturing.
opinion location	Well, if you ever want to visit LOCATION, I would be happy to show you around.
opinion location	LOCATION is lovely.
opinion location	It's a pity that I was traveling around LOCATION at that time.
opinion location	LOCATION.
opinion location	Yes, but I want to go to the LOCATION.
opinion location	Oh, LOCATION of sure.
opinion location	It looks like I might have convinced you to go to LOCATION!
opinion location	My pleasure, I hope your visit to LOCATION is very enjoyable!
opinion location	LOCATION is more exciting.
opinion location	oh, LOCATION sounds great, but I'm afraid it'll cost too much.
opinion location	I like LOCATION.
opinion location	OK, I ’ ll sing LOCATION then.
opinion location	He ’ s going to be sent to LOCATION to study, really?
opinion location	Yes, I want to spend a couple days in LOCATION.
opinion location	I wanted to see the LOCATION.
opinion location	So the other party could be across the LOCATION or just on the other side of the street!
opinion location	I've always wanted to go to LOCATION.
opinion location	I think that place is LOCATION.
opinion location	I hope to visit LOCATION next year.
opinion location	Well, I've always wanted to see LOCATION.
opinion location	While the pale color symbolizes beauty and elegance in most LOCATION.
opinion location	Nowadays, it's no difference from LOCATION.
opinion location	Well, I really recommend LOCATION.
opinion location	Whenever I go to LOCATION, I get really excited.
opinion location	Wow, like LOCATION.
opinion location	The LOCATION certainly is worth visiting.
opinion location	Maybe LOCATION.
opinion location	I think I ‘ d say LOCATION.
opinion location	It lies in LOCATION.
opinion location	I ’ m sure he will help better LOCATION.
opinion location	I think I will start off in LOCATION.
opinion location	I think that place is LOCATION.
opinion location	Because it enjoys great reputation and it is located in my favorite city LOCATION.
opinion location	I think if everyone pitches in, the LOCATION will be a better place.
opinion location	Therefore, I think I'll explore LOCATION some more.
opinion location	I think we can visit LOCATION.
opinion location	I like the LOCATION too.
opinion location	That will be a throw in for LOCATION.
opinion location	Well, it ’ s a bit of a mixed bag in LOCATION today.
opinion location	I think if everyone pitches in, the LOCATION will be a better place.
opinion location	The first place you should go is the LOCATION.
opinion location	I like LOCATION.
opinion location	Thank you, but I'd prefer to buy a LOCATION-made set.
opinion location	As a matter of fact, I would like to work in LOCATION.
opinion location	I think I'd say LOCATION.
opinion location	I'm glad you enjoyed the LOCATION, anyway.
opinion number	NUMBER is a great time to get started.
opinion number	Thanks, thanks a lot and thanks NUMBER.
opinion number	NUMBER would be too large a figure to be used for a trial.
opinion number	I'm afraid NUMBER is too expensive for me.
opinion number	NUMBER is by no means a large order.
opinion number	I believe that NUMBER is just about right amount.
opinion number	I agree that NUMBER would be just about right.
opinion number	NUMBER.
opinion number	I'll take NUMBER.
opinion number	Yes, I would call NUMBER of my former classmates really close friends.
opinion number	NUMBER people.
opinion number	I won ’ t go any lower than $ NUMBER.
opinion number	NUMBER is good.
opinion number	NUMBER would be good, don't you think?
opinion number	NUMBER is a little expensive.
opinion number	I think a NUMBER is your size.
opinion number	Well, I want to stay under $ NUMBER.
opinion number	I think NUMBER is enough.
opinion number	I'll buy it if NUMBER.
opinion number	I would like $ NUMBER.
opinion number	He got a NUMBER here which means it's unsatisfactory.
opinion number	I believe I am a NUMBER.
opinion number	NUMBER would be perfect.
opinion organization	ORGANIZATION was my first choice.
opinion organization	Hopefully, I ’ ll get accepted to ORGANIZATION.
opinion organization	I think my favorite job so far was when I worked for ORGANIZATION.
opinion organization	I really wanted to get into ORGANIZATION.
opinion organization	My warmest congratulations on your entering the ORGANIZATION.
opinion organization	I ’ d like to bring to ORGANIZATION Company not only my technical skills, ambition, enthusiasm, but also my loyalty, a sensor desire to become an administrative assistant.
opinion organization	ORGANIZATION is OK.
opinion organization	By ORGANIZATION, if that's ok.
opinion organization	Well, ORGANIZATION is famous for its speed and reliability.
opinion organization	I think it ’ s my acceptance letter from ORGANIZATION.
opinion organization	I had high hopes for ORGANIZATION.
opinion organization	ORGANIZATION.
opinion organization	The ORGANIZATION should have more authority.
opinion organization	ORGANIZATION.
opinion organization	ORGANIZATION is a wonderful institution.
opinion organization	I ’ d like to bring to ORGANIZATION not only my technical skills, ambition, enthusiasm, but also my loyalty.
opinion person	I'm not sure, but I think it must be directed by PERSON.
opinion person	Basically, I think PERSON is threatened by me.
opinion person	PERSON?
opinion person	PERSON, of course.
opinion person	PERSON is a legend, anyway.
opinion person	PERSON may be handsome, but I think he's a bit crazy, don't you?
opinion person	I like PERSON the most.
opinion person	Hum, PERSON, or something like that.
opinion person	I know PERSON won't mind.
opinion person	PERSON doesn't hold a grudge, if that's what you're worried about.
opinion person	That's probably PERSON.
opinion person	PERSON.
opinion person	That must be PERSON.
opinion person	It should be under PERSON.
opinion person	Well, maybe not a PERSON, but better than the average.
opinion person	PERSON may be handsome, but I think he's a bit crazy, don't you?
opinion person	PERSON.
opinion person	Actually, I recommend you take PERSON sooner rather than later.
opinion person	Well, their inventors were not as clever as PERSON.
opinion person	I thought you had trouble with PERSON!
opinion person	I like the way PERSON runs.
opinion person	I feel nervous when I face PERSON.
opinion person	I know PERSON won't mind.
opinion person	Well, I want to become just like PERSON.
opinion person	I hope I can fly to any place like PERSON.
opinion person	I'm a big fan of PERSON.
opinion person	I agree that PERSON doesn't teach so well.
opinion person	I bet that PERSON wasn't too happy with that!
opinion person	My vote was for PERSON.
opinion person	Hum, PERSON, or something like that.
opinion person	PERSON.
opinion person	I have nothing but faith in PERSON.
opinion person	I love PERSON.
opinion person	PERSON?
opinion person	I guess it Is PERSON.
opinion person	You know, PERSON isn't such a bad guy.
opinion person	PERSON.
opinion person	Oh, I love PERSON.
opinion person	With PERSON leaving, we should probably look to someone new on board.
opinion person	PERSON.
opinion person	PERSON.
opinion person	PERSON?
opinion person	I thought that he was with PERSON.
opinion position	I know he ’ s going to be the next POSITION.
opinion position	People must want him as our POSITION.
opinion position	All I can tell you is our next POSITION got my vote.
opinion position	I ’ m voting for the next POSITION.
opinion position	I am so happy that he is our new POSITION!
opinion sport	I'd love to, but I don't care for SPORT very much.
opinion sport	SPORT.
opinion sport	I seldom play SPORT.
opinion sport	well, I like to play SPORT.
opinion sport	I seldom play SPORT.
opinion sport	You should try SPORT then.
opinion sport	I have never thought that SPORT can bring us so many benefits.
opinion sport	I don't care about SPORT.
opinion sport	I'd strongly recommend that you wait for a while before going SPORT.
opinion sport	Maybe I can meet you at the club and we can play SPORT together.
opinion sport	Sounds interesting, but SPORT doesn ’ t really appeal to me.
opinion sport	I seldom play SPORT.
opinion sport	Well, I like to play SPORT.
opinion sport	In my country, many people enjoy SPORT, but it is too expensive for some people.
opinion sport	I would like to go SPORT.
opinion sport	I prefer TV play to SPORT.
opinion sport	my absolute favorite is SPORT.
opinion sport	In SPORT.
opinion sport	Sounds interesting, but SPORT doesn ’ t really appeal to me.
opinion sport	SPORT of course!
opinion sport	Oh... SPORT.
opinion sport	I like playing SPORT.
opinion sport	SPORT.
opinion sport	SPORT.
opinion sport	I like SPORT, but I prefer to be along with you.
opinion sportteam	SPORTTEAM.
opinion sportteam	I like SPORTTEAM.
opinion sportteam	SPORTTEAM was my second choice, but I ’ m happy knowing I ’
opinion sportteam	SPORTTEAM.
opinion sportteam	20 to 1, in favour of SPORTTEAM!
opinion sportteam	There is no doubt that the SPORTTEAM team will win.
opinion sportteam	SPORTTEAM?
opinion sportteam	SPORTTEAM, of course!
opinion sportteam	if SPORTTEAM had played as they normally do, they should have won.
opinion sportteam	I wonder if anyone can call the SPORTTEAM about this.
opinion sportteam	SPORTTEAM.
opinion sportteam	If SPORTTEAM had played as they normally do, they should have won.
opinion vehicle	Actually, in my opinion, the VEHICLE were better because you don't have to tip them.
opinion vehicle	I will be driving my VEHICLE.
opinion vehicle	No, I wouldn't be caught dead in a VEHICLE.
opinion vehicle	I wonder if I can use your VEHICLE.
opinion vehicle	maybe if I sold my VEHICLE now, I wouldn't be so tempted to use it.
opinion vehicle	Maybe if I sold my VEHICLE now, I wouldn't be so tempted to use it.
opinion vehicle	The VEHICLE?
opinion vehicle	I am glad I did not drive a VEHICLE.
opinion vehicle	I agree, but I would find it difficult to stop using my VEHICLE.
opinion vehicle	I want to have a VEHICLE like that.
opinion vehicle	I don't think we'll be able to find a VEHICLE very easily during hush hours.
opinion vehicle	He shouldn't drive his VEHICLE.
opinion vehicle	Perhaps you'd prefer a VEHICLE.
opinion vehicle	I think a VEHICLE is better.
opinion vehicle	I can't stand riding the VEHICLE.
opinion vehicle	The VEHICLE?
opinion vehicle	I agree, but I would find it difficult to stop using my VEHICLE.
opinion vehicle	I don't think we'll be able to find a VEHICLE very easily during hush hours.
opinion videoname	to be honest, I didn't really like VIDEONAME.
opinion videoname	VIDEONAME is really beautiful.
opinion videoname	I like VIDEONAME.
opinion videoname	VIDEONAME.
opinion videoname	This one, VIDEONAME, looks good.
opinion videoname	VIDEONAME is very tricky.
opinion videoname	VIDEONAME.
opinion videoname	The VIDEONAME.
opinion videoname	VIDEONAME.
opinion videoname	VIDEONAME?
